28,MH529995/2018-19/112834346,7.40000 MAl,0.32000 N,0.41000 L,184.00000 L,8.70000 L,44.00000 VL,9.90000 D,0.28000 D,3.70000 D,1.20000 S,8.20000 S,0.58000 S
29,MH529995/2018-19/112838189,7.30000 MAl,0.21000 N,0.18000 VL,79.00000 VL,7.90000 L,37.00000 VL,11.00000 S,0.22000 D,7.80000 S,1.50000 S,4.90000 S,0.34000 D
30,MH529995/2018-19/112844228,7.30000 MAl,0.44000 N,0.26000 L,118.00000 VL,9.50000 L,51.00000 VL,6.50000 D,0.58000 D,3.50000 D,1.80000 S,4.40000 S,0.26000 D
31,MH529995/2018-19/112945829,8.07000 MAl,0.18000 N,0.26000 L,118.00000 VL,8.70000 L,36.00000 VL,15.10000 S,0.44000 D,4.50000 D,1.80000 S,7.60000 S,0.54000 S
32,MH529995/2018-19/112948325,7.48000 MAl,0.51000 N,0.18000 VL,79.00000 VL,10.90000 M,38.00000 VL,12.30000 S,0.50000 D,6.30000 S,2.70000 S,13.30000 S,0.60000 S
33,MH529995/2018-19/112949809,8.08000 MAl,0.21000 N,0.18000 VL,79.00000 VL,11.20000 M,46.00000 VL,9.70000 D,0.34000 D,5.50000 S,2.20000 S,14.70000 S,0.38000 D
34,MH529995/2018-19/112953418,7.39000 MAl,0.35000 N,0.35000 L,157.00000 L,12.20000 M,77.00000 L,8.70000 D,0.30000 D,6.90000 S,2.20000 S,8.70000 S,0.48000 D
35,MH529995/2018-19/113008798,8.20000 MAl,0.24000 N,0.20000 VL,92.00000 VL,15.80000 M,48.00000 VL,12.30000 S,0.34000 D,7.90000 S,1.50000 S,6.70000 S,0.40000 D
36,MH529995/2018-19/113016566,8.20000 MAl,0.24000 N,0.20000 VL,92.00000 VL,15.80000 M,48.00000 VL,12.30000 S,0.34000 D,7.90000 S,1.50000 S,6.70000 S,0.40000 D
37,MH529995/2018-19/113019994,7.24000 MAl,0.45000 N,0.32000 L,144.00000 L,7.90000 L,59.00000 VL,9.00000 D,0.24000 D,2.90000 D,1.40000 S,9.80000 S,0.36000 D
38,MH529995/2018-19/113035208,8.10000 MAl,0.22000 N,0.29000 L,131.00000 VL,10.30000 M,60.00000 VL,6.80000 D,0.32000 D,7.90000 S,1.70000 S,9.10000 S,0.52000 S
39,MH529995/2018-19/113040435,7.57000 MAl,0.31000 N,0.20000 VL,92.00000 VL,6.50000 L,43.00000 VL,12.00000 S,0.40000 D,7.70000 S,1.40000 S,5.40000 S,0.34000 D
40,MH529995/2018-19/113043177,7.72000 MAl,0.54000 N,0.41000 L,184.00000 L,10.60000 M,78.00000 L,14.30000 S,0.46000 D,2.90000 D,2.40000 S,12.30000 S,0.58000 S
41,MH529995/2018-19/113046867,7.40000 MAl,0.22000 N,0.29000 L,131.00000 VL,7.10000 L,54.00000 VL,10.70000 S,0.50000 D,5.40000 S,2.80000 S,13.10000 S,0.52000 S
42,MH529995/2018-19/113051200,7.65000 MAl,0.79000 N,0.32000 L,144.00000 L,16.00000 M,68.00000 VL,9.00000 D,0.22000 D,4.70000 S,2.20000 S,14.90000 S,0.30000 D
43,MH529995/2018-19/113055463,7.46000 MAl,0.17000 N,0.35000 L,157.00000 L,10.30000 M,58.00000 VL,12.40000 S,0.52000 D,5.90000 S,2.80000 S,6.80000 S,0.44000 D
44,MH529995/2018-19/113058481,7.60000 MAl,0.77000 N,0.23000 VL,105.00000 VL,9.20000 L,58.00000 VL,13.20000 S,0.42000 D,3.80000 D,1.70000 S,12.50000 S,0.56000 S
45,MH529995/2018-19/113168015,7.60000 MAl,0.90000 N,0.26000 L,118.00000 VL,13.10000 M,75.00000 L,11.60000 S,0.38000 D,6.20000 S,1.50000 S,7.30000 S,0.30000 D
46,MH529995/2018-19/113404906,8.02000 MAl,0.34000 N,0.29000 L,131.00000 VL,16.30000 M,46.00000 VL,12.20000 S,0.34000 D,3.60000 D,1.30000 S,8.20000 S,0.58000 S
47,MH529995/2018-19/114502496,,5.00000 ITC,2.00000 VH,1.00000 VL,0.80000 VL,1.20000 VL,1.45000 D,2.10000 S,1.20000 D,1.20000 S,9.90000 S,1.00000 S
48,MH529995/2018-19/114565550,7.69000 MAl,0.28000 N,0.23000 VL,105.00000 VL,6.30000 L,160.00000 M,10.90000 S,0.42000 D,4.90000 S,2.40000 S,8.20000 S,0.38000 D
49,MH529995/2018-19/115340729,7.31000 MAl,0.30000 N,0.20000 VL,92.00000 VL,6.80000 L,36.00000 VL,14.80000 S,0.32000 D,6.90000 S,1.40000 S,8.60000 S,0.42000 D
50,MH529995/2018-19/115341774,7.80000 MAl,0.59000 N,0.32000 L,144.00000 L,8.40000 L,64.00000 VL,7.50000 D,0.26000 D,7.80000 S,2.40000 S,3.30000 S,0.52000 S
51,MH529995/2018-19/115342323,7.40000 MAl,0.65000 N,0.35000 L,157.00000 L,11.20000 M,51.00000 VL,11.10000 S,0.28000 D,5.20000 S,2.70000 S,5.40000 S,0.50000 D
52,MH529995/2018-19/115342931,7.90000 MAl,0.43000 N,0.29000 L,131.00000 VL,10.10000 M,48.00000 VL,10.70000 S,0.40000 D,3.80000 D,2.20000 S,9.50000 S,0.36000 D
53,MH529995/2018-19/115343763,7.45000 MAl,0.77000 N,0.20000 VL,92.00000 VL,9.80000 L,41.00000 VL,11.50000 S,0.46000 D,4.70000 S,1.70000 S,10.10000 S,0.30000 D
54,MH529995/2018-19/115344264,7.26000 MAl,0.20000 N,0.20000 VL,92.00000 VL,8.70000 L,44.00000 VL,9.30000 D,0.32000 D,4.60000 S,1.50000 S,12.30000 S,0.36000 D
55,MH529995/2018-19/115344772,8.00000 MAl,0.33000 N,0.18000 VL,79.00000 VL,16.60000 M,47.00000 VL,11.20000 S,0.46000 D,3.60000 D,1.90000 S,10.70000 S,0.48000 D
56,MH529995/2018-19/115344982,7.80000 MAl,0.45000 N,0.23000 VL,105.00000 VL,14.10000 M,63.00000 VL,14.00000 S,0.36000 D,5.70000 S,1.80000 S,9.00000 S,0.34000 D
57,MH529995/2018-19/115345338,7.90000 MAl,0.31000 N,0.29000 L,131.00000 VL,15.50000 M,48.00000 VL,8.80000 D,0.50000 D,7.20000 S,2.40000 S,9.30000 S,0.38000 D
